episode,timestep,acc
100,6400,0.01
200,12800,0
300,19200,0
400,25600,0
500,32000,0.02
600,38400,0.02
700,44800,0.01
801,51200,0.019801980198019802
902,57600,0.039603960396039604
1003,64000,0.0594059405940594
1104,70400,0.06930693069306931
1206,76800,0.14705882352941177
1310,83200,0.15384615384615385
1414,89600,0.19230769230769232
1521,96000,0.2897196261682243
1629,102400,0.2962962962962963
1737,108800,0.2777777777777778
1842,115200,0.19047619047619047
1953,121600,0.35135135135135137
2066,128000,0.39823008849557523
2180,134400,0.4298245614035088
2298,140800,0.5508474576271186
2420,147200,0.5983606557377049
2542,153600,0.6147540983606558
2660,160000,0.5677966101694916
2788,166400,0.7265625
2919,172800,0.7480916030534351
3048,179200,0.689922480620155
3183,185600,0.725925925925926
3324,192000,0.8085106382978723
3455,198400,0.7099236641221374
3597,204800,0.795774647887324
3735,211200,0.7536231884057971
3883,217600,0.8445945945945946
4026,224000,0.7902097902097902
4170,230400,0.8541666666666666
4314,236800,0.8263888888888888
4462,243200,0.831081081081081
4622,249600,0.93125
4778,256000,0.9102564102564102
4935,262400,0.8598726114649682
5093,268800,0.9113924050632911
5260,275200,0.9221556886227545
5415,281600,0.8838709677419355
5579,288000,0.926829268292683
5743,294400,0.926829268292683
5920,300800,0.9548022598870056
6079,307200,0.9182389937106918
6239,313600,0.95
6410,320000,0.9181286549707602
6585,326400,0.9428571428571428
6753,332800,0.9107142857142857
6925,339200,0.9651162790697675
7101,345600,0.9318181818181818
7272,352000,0.9590643274853801
7444,358400,0.9593023255813954
7630,364800,0.9623655913978495
7810,371200,0.95
7989,377600,0.9720670391061452
8163,384000,0.9827586206896551
8346,390400,0.9781420765027322
8528,396800,0.9560439560439561
8712,403200,0.9782608695652174
8898,409600,0.989247311827957
9082,416000,0.9782608695652174
9274,422400,0.984375
9455,428800,0.9723756906077348
9648,435200,0.9689119170984456
9838,441600,1.0
10020,448000,0.9725274725274725
10206,454400,0.9623655913978495
10408,460800,0.9900990099009901
10606,467200,0.98989898989899
10803,473600,0.9847715736040609
10995,480000,0.9895833333333334
11193,486400,0.9848484848484849
11383,492800,0.9789473684210527
11571,499200,0.9787234042553191
11775,505600,0.9950980392156863
11976,512000,0.9900497512437811
12177,518400,0.9950248756218906
12386,524800,1.0
12580,531200,0.9948453608247423
12784,537600,0.9950980392156863
12989,544000,1.0
13193,550400,1.0
13396,556800,1.0
13600,563200,0.9901960784313726
13801,569600,1.0
14006,576000,1.0
14201,582400,1.0
14405,588800,1.0
14609,595200,1.0
14810,601600,0.9900497512437811
15008,608000,0.9949494949494949
15216,614400,1.0
15423,620800,0.9951690821256038
15624,627200,0.9900497512437811
15829,633600,1.0
16037,640000,1.0
16258,646400,0.995475113122172
16467,652800,0.9952153110047847
16671,659200,0.9950980392156863
16875,665600,1.0
17085,672000,1.0
17288,678400,1.0
17506,684800,1.0
17725,691200,1.0
17926,697600,1.0
18133,704000,1.0
18337,710400,1.0
18554,716800,0.9953917050691244
18768,723200,0.9953271028037384
18977,729600,1.0
19187,736000,0.9904761904761905
19389,742400,0.995049504950495
19599,748800,0.9904761904761905
19810,755200,1.0
20028,761600,1.0
20251,768000,1.0
20465,774400,1.0
20682,780800,1.0
20904,787200,1.0
21122,793600,1.0
21334,800000,1.0
21554,806400,1.0
21776,812800,1.0
22000,819200,1.0
22218,825600,1.0
22442,832000,1.0
22658,838400,1.0
22884,844800,1.0
23102,851200,1.0
23321,857600,1.0
23544,864000,1.0
23764,870400,1.0
23984,876800,1.0
24202,883200,1.0
24424,889600,1.0
24653,896000,1.0
24873,902400,1.0
25105,908800,1.0
25324,915200,0.9954337899543378
25548,921600,1.0
25769,928000,1.0
26000,934400,1.0
26225,940800,1.0
26440,947200,1.0
26673,953600,1.0
26902,960000,1.0
27131,966400,1.0
27354,972800,1.0
27576,979200,1.0
27807,985600,1.0
28043,992000,1.0
28276,998400,1.0
28507,1004800,1.0
28733,1011200,1.0
28967,1017600,1.0
29193,1024000,1.0
29420,1030400,1.0
29650,1036800,1.0
29874,1043200,1.0
30101,1049600,1.0
30324,1056000,1.0
30569,1062400,1.0
30798,1068800,1.0
31018,1075200,1.0
31254,1081600,1.0
31487,1088000,1.0
31718,1094400,1.0
31944,1100800,1.0
32179,1107200,1.0
32407,1113600,1.0
32632,1120000,1.0
32858,1126400,1.0044247787610618
33087,1132800,0.9956331877729258
33312,1139200,1.0
33543,1145600,1.0
33783,1152000,1.0
34018,1158400,1.0
34246,1164800,1.0
34471,1171200,1.0
34707,1177600,1.0
34941,1184000,1.0
35167,1190400,1.0
35396,1196800,1.0043668122270741
35635,1203200,0.99581589958159
35869,1209600,1.0
36100,1216000,1.0
36331,1222400,1.0
36556,1228800,1.0
36792,1235200,1.0
37020,1241600,1.0
37248,1248000,1.0
37474,1254400,1.0
37709,1260800,1.0
37939,1267200,1.0
38180,1273600,1.0
38416,1280000,1.0
38652,1286400,1.0
38891,1292800,1.0
39116,1299200,1.0
39351,1305600,1.0
39588,1312000,1.0
39826,1318400,1.004201680672269
40058,1324800,0.9956896551724138
40288,1331200,1.0
40522,1337600,1.0
40759,1344000,1.0
40992,1350400,1.0
41229,1356800,1.0
41473,1363200,1.0
41706,1369600,1.0
41937,1376000,1.0
42182,1382400,1.0
42425,1388800,1.0
42666,1395200,1.0
42914,1401600,1.0
43144,1408000,1.0
43385,1414400,1.0
43622,1420800,1.0
43865,1427200,1.0
44106,1433600,1.0
44354,1440000,1.0
44583,1446400,1.0
44819,1452800,1.0
45052,1459200,1.0
45292,1465600,1.0
45527,1472000,1.0
45772,1478400,1.0
46003,1484800,1.0
46237,1491200,1.0
46482,1497600,1.0
46725,1504000,1.0
46957,1510400,1.0
47194,1516800,1.0
47427,1523200,1.0
47663,1529600,1.0
47907,1536000,1.0
48148,1542400,1.0
48394,1548800,1.0
48636,1555200,1.0
48881,1561600,1.0
49111,1568000,1.0
49352,1574400,1.0
49589,1580800,1.0
49829,1587200,1.0
50072,1593600,1.0
50311,1600000,1.0
50553,1606400,1.0041322314049588
50798,1612800,0.9959183673469387
51040,1619200,1.0
51295,1625600,1.0
51531,1632000,1.0
51775,1638400,1.0
52022,1644800,1.0
52258,1651200,1.0
52504,1657600,1.0
52753,1664000,1.0
53001,1670400,1.0
53255,1676800,1.0
53497,1683200,1.0
53733,1689600,1.0
53971,1696000,1.0
54209,1702400,1.0
54441,1708800,1.0
54684,1715200,1.0
54927,1721600,1.0
55176,1728000,1.0
55425,1734400,1.0
55669,1740800,1.0
55915,1747200,1.0
56154,1753600,1.0
56393,1760000,1.0
56633,1766400,1.0
56871,1772800,1.0
57112,1779200,1.0
57342,1785600,1.0
57584,1792000,1.0
57815,1798400,1.0
58053,1804800,1.0
58288,1811200,1.0
58525,1817600,1.0
58764,1824000,1.0
59005,1830400,1.0
59258,1836800,1.0
59504,1843200,1.0
59743,1849600,1.0
59981,1856000,1.0
60226,1862400,1.0
60465,1868800,1.0
60728,1875200,1.0
60969,1881600,1.0
61216,1888000,1.0
61467,1894400,1.0
61707,1900800,1.0
61957,1907200,1.0
62198,1913600,1.0
62440,1920000,1.0
62681,1926400,1.0
62926,1932800,1.0
63174,1939200,1.0
63421,1945600,1.0
63666,1952000,1.0
63907,1958400,1.0
64150,1964800,1.0
64396,1971200,1.0
64635,1977600,1.0
64875,1984000,1.0
65120,1990400,1.0
65362,1996800,1.0
65621,2003200,1.0
65861,2009600,1.0
66109,2016000,1.0040322580645162
66355,2022400,0.9959349593495935
66602,2028800,1.0
66850,2035200,1.0
67091,2041600,1.004149377593361
67338,2048000,0.9959514170040485
67575,2054400,1.0
67824,2060800,1.0
68079,2067200,1.0
68322,2073600,1.0
68554,2080000,1.0
68799,2086400,1.0
69049,2092800,1.004
69289,2099200,0.9958333333333333
69539,2105600,1.0
69779,2112000,1.0
70020,2118400,1.0
70257,2124800,1.0
70502,2131200,1.0
70746,2137600,1.0
70981,2144000,1.0
71221,2150400,1.0
71460,2156800,1.0
71708,2163200,1.0
71947,2169600,1.0
72195,2176000,1.0
72427,2182400,1.0
72673,2188800,1.0
72924,2195200,1.0
73162,2201600,1.0
73407,2208000,1.0
73659,2214400,1.0
73913,2220800,1.0
74153,2227200,1.0
74398,2233600,1.0
74643,2240000,1.0
74887,2246400,1.0
75132,2252800,1.0
75379,2259200,1.0
75624,2265600,1.0
75867,2272000,1.0
76122,2278400,1.0
76367,2284800,1.0
76606,2291200,1.0
76855,2297600,1.0040160642570282
77095,2304000,0.9958333333333333
