episode,timestep,reward
0,400,0
1,800,-106.1318
2,1200,-76.6032
3,1600,-100.8169
4,2000,-101.729
5,2400,-81.2612
6,2800,-90.363
7,3200,-130.487
9,3600,-36.1633
10,4000,-110.0123
11,4400,-104.7997
12,4800,-102.5752
13,5200,-118.9956
14,5600,21.8194
16,6000,-21.2917
17,6400,-131.0266
18,6800,-104.2199
19,7200,33.0804
20,7600,-91.4519
21,8000,-98.0858
28,8400,-163.1266
35,8800,-153.4282
43,9200,-153.0
50,9600,-152.7143
58,10000,-153.125
66,10400,-152.4993
73,10800,-153.8571
81,11200,-152.625
88,11600,-151.7122
96,12000,-152.875
104,12400,-152.6248
111,12800,-152.8571
119,13200,-153.249
126,13600,-151.7143
134,14000,-151.875
142,14400,-152.875
149,14800,-153.1429
157,15200,-152.125
164,15600,-152.1412
172,16000,-152.25
179,16400,-156.2857
186,16800,-155.2857
194,17200,-155.4934
201,17600,-156.7143
208,18000,-155.1429
215,18400,-155.7143
222,18800,-156.0
230,19200,-155.0
237,19600,-157.1429
244,20000,-156.2857
251,20400,-154.7143
258,20800,-155.1429
265,21200,-155.1429
273,21600,-155.5
280,22000,-156.1429
287,22400,-155.8571
294,22800,-156.2857
301,23200,-156.8571
308,23600,-156.1429
315,24000,-155.8571
316,24400,-400.0
317,24800,-336.9815
318,25200,-152.8374
319,25600,-174.6689
320,26000,-313.2643
321,26400,-254.3454
322,26800,-173.7082
323,27200,-300.6459
324,27600,-148.3526
325,28000,-144.5516
326,28400,-129.2032
327,28800,-211.9745
328,29200,-182.8904
329,29600,-283.8594
330,30000,-151.4645
331,30400,-113.7249
332,30800,-160.7467
333,31200,-232.7435
334,31600,-186.2781
335,32000,-225.7133
336,32400,-172.3889
337,32800,-167.5579
338,33200,-167.21
339,33600,-127.9005
340,34000,-62.7124
341,34400,-137.4144
342,34800,-141.6428
343,35200,2.2032
344,35600,-166.3953
345,36000,-133.703
346,36400,-201.9437
347,36800,-161.6832
348,37200,-112.808
349,37600,-122.7391
350,38000,-148.4196
351,38400,-232.3689
352,38800,-159.5568
353,39200,-110.2236
354,39600,-143.8296
355,40000,-110.1124
356,40400,-223.9562
357,40800,-31.0715
358,41200,-162.4026
359,41600,-26.6728
360,42000,-75.9237
361,42400,-119.817
362,42800,-80.9849
363,43200,-155.9833
364,43600,-139.9615
365,44000,-96.087
366,44400,-86.2708
367,44800,-118.1166
368,45200,-99.6495
369,45600,-175.1224
370,46000,-163.3896
371,46400,-128.8179
372,46800,-108.5727
373,47200,-101.5881
374,47600,-154.946
375,48000,-123.6736
376,48400,-2.178
377,48800,-97.4461
378,49200,-71.3716
379,49600,-99.2401
380,50000,-95.641
382,50400,28.8345
383,50800,-90.7309
384,51200,-123.1573
385,51600,10.8734
386,52000,-99.9382
387,52400,-113.4233
388,52800,-114.4067
390,53200,27.273
391,53600,12.4489
392,54000,-107.9454
393,54400,-5.527
394,54800,-84.6811
395,55200,13.5586
396,55600,-106.8237
397,56000,-96.086
398,56400,-91.1416
399,56800,-151.265
400,57200,-99.8074
401,57600,-98.0053
402,58000,-82.1026
403,58400,-125.205
404,58800,-95.5326
405,59200,-107.0615
406,59600,-92.5268
407,60000,-88.8445
409,60400,-40.9605
410,60800,30.8357
411,61200,-114.4627
412,61600,-97.5341
413,62000,-108.0254
414,62400,-81.7479
415,62800,-90.6743
416,63200,-160.8231
417,63600,-124.5143
418,64000,-3.8557
419,64400,-84.9495
420,64800,-162.6188
421,65200,-81.2731
422,65600,27.1745
423,66000,-92.2563
424,66400,-104.9431
425,66800,-109.4932
426,67200,-87.9551
428,67600,-87.478
429,68000,-114.1066
430,68400,9.0156
431,68800,-126.4637
432,69200,-69.9266
433,69600,-92.0471
434,70000,-110.2244
435,70400,1.3987
436,70800,-79.0399
437,71200,-96.7683
438,71600,-105.6671
439,72000,2.898
441,72400,-54.0914
442,72800,-115.6754
443,73200,-88.9123
444,73600,-71.0669
445,74000,-19.5203
446,74400,-97.0464
447,74800,-77.5776
448,75200,-98.1653
449,75600,-106.0412
450,76000,-126.7962
451,76400,-85.5726
452,76800,-91.8273
453,77200,-96.3959
454,77600,-99.6589
455,78000,-88.2708
456,78400,-84.1918
457,78800,-123.825
458,79200,-93.7424
459,79600,38.1126
460,80000,-78.7372
461,80400,-68.0564
462,80800,-87.3058
463,81200,-93.7744
464,81600,-132.3379
465,82000,-93.322
466,82400,-124.658
467,82800,-65.8859
468,83200,12.1952
470,83600,-27.8678
471,84000,-99.2492
472,84400,15.3375
474,84800,-26.1878
475,85200,-94.6084
476,85600,-81.8063
477,86000,-89.3019
478,86400,-110.9579
479,86800,-92.5694
480,87200,-103.1332
481,87600,-106.9658
482,88000,32.4092
483,88400,-90.6881
484,88800,15.8186
485,89200,-88.0161
486,89600,-87.3088
487,90000,-116.7879
488,90400,-79.2204
489,90800,-112.8733
490,91200,-98.3817
491,91600,-69.3374
492,92000,-155.385
493,92400,-95.5999
494,92800,-82.1367
495,93200,-94.6234
496,93600,-138.6452
497,94000,-98.2608
498,94400,33.6724
500,94800,-29.3491
501,95200,-107.1223
502,95600,-106.0678
503,96000,-87.6693
504,96400,-56.7658
505,96800,13.6155
506,97200,-92.916
507,97600,-81.109
509,98000,-40.9371
510,98400,23.3144
511,98800,-88.9766
512,99200,-116.8845
513,99600,-87.9107
514,100000,-141.1168
515,100400,-88.9961
516,100800,-91.9638
517,101200,-82.3047
518,101600,-98.411
519,102000,13.0245
520,102400,-132.8758
521,102800,-111.6745
523,103200,-42.0926
524,103600,-119.7404
525,104000,-71.7604
526,104400,51.534
527,104800,-89.1093
528,105200,9.197
529,105600,-127.5244
530,106000,-97.4247
531,106400,-91.546
532,106800,-87.8469
533,107200,-103.2253
534,107600,-94.9582
535,108000,-97.4971
536,108400,-93.5211
537,108800,-91.1604
538,109200,-98.6748
539,109600,-95.9107
540,110000,-105.7708
542,110400,-21.5683
543,110800,-108.6584
544,111200,-100.8424
545,111600,-68.1565
546,112000,-141.7725
547,112400,-121.8123
548,112800,-152.1661
549,113200,-119.5783
550,113600,-145.1519
551,114000,-147.3916
552,114400,-114.2084
553,114800,-96.671
554,115200,-143.3956
555,115600,-125.3071
556,116000,-90.7261
557,116400,-71.4062
558,116800,-137.9862
559,117200,-94.0239
560,117600,-93.6218
561,118000,-141.6253
562,118400,-65.8929
563,118800,-72.9799
564,119200,-73.2617
565,119600,44.0612
567,120000,-91.5381
568,120400,-92.0409
569,120800,-71.0272
570,121200,-99.3593
571,121600,-91.8121
572,122000,-73.4204
573,122400,-86.0963
574,122800,-123.69
575,123200,-93.6704
576,123600,-112.7849
577,124000,12.2341
578,124400,-88.0367
579,124800,-92.5835
580,125200,-89.3499
581,125600,-86.9924
582,126000,-98.4329
583,126400,-69.3522
584,126800,-120.6365
585,127200,-91.1973
586,127600,-96.1606
587,128000,-102.2708
588,128400,10.7651
589,128800,-252.637
590,129200,-55.562
591,129600,-113.4099
592,130000,-98.4546
593,130400,-122.3734
594,130800,-104.5652
595,131200,-108.2958
596,131600,-105.8665
597,132000,-83.6348
598,132400,-106.3367
599,132800,-82.4139
600,133200,-118.4042
601,133600,-81.6876
602,134000,-87.59
603,134400,-89.8611
604,134800,-108.3546
605,135200,-131.2785
606,135600,-84.1934
607,136000,-104.0572
608,136400,-120.3442
609,136800,-89.1712
610,137200,-139.7402
611,137600,-44.0261
612,138000,-227.3499
614,138400,-54.4596
615,138800,-76.3412
616,139200,-98.7048
617,139600,-103.4011
618,140000,28.3199
619,140400,-122.2811
620,140800,-71.3648
621,141200,-146.8861
622,141600,-96.9853
623,142000,-92.8765
624,142400,-133.8136
625,142800,-145.6865
626,143200,-120.8509
627,143600,-93.4325
628,144000,-20.231
629,144400,6.4883
630,144800,-126.0145
631,145200,-114.4433
632,145600,-95.1357
633,146000,-94.0883
635,146400,-29.4471
636,146800,20.8592
637,147200,-92.5456
638,147600,-98.4173
639,148000,-108.1874
640,148400,-107.5209
642,148800,-39.4567
643,149200,-77.6257
644,149600,23.4054
645,150000,-105.205
646,150400,-109.6774
647,150800,-130.0832
648,151200,-114.1128
649,151600,-80.4981
650,152000,-100.0516
651,152400,-78.1382
652,152800,-114.4441
653,153200,24.8396
654,153600,-166.7333
656,154000,-39.7916
657,154400,15.7691
658,154800,-79.3354
660,155200,-38.8947
661,155600,-94.6476
662,156000,-89.0074
663,156400,-92.5078
664,156800,-105.2975
665,157200,-116.9041
666,157600,-94.0325
667,158000,30.9217
668,158400,-151.3671
670,158800,-21.9728
671,159200,-97.3712
672,159600,14.309
673,160000,-96.2404
674,160400,-94.9351
675,160800,-91.9095
676,161200,-55.4132
677,161600,-102.3311
678,162000,-102.4668
679,162400,-91.1739
680,162800,-104.2091
681,163200,-141.6574
682,163600,-85.9382
683,164000,-89.066
684,164400,-114.8933
685,164800,22.0677
686,165200,-106.549
687,165600,-106.0568
689,166000,-37.3195
690,166400,19.369
691,166800,-116.8929
692,167200,-104.7394
693,167600,-71.0675
694,168000,-108.7788
695,168400,-105.7686
696,168800,-6.6053
698,169200,-32.5235
699,169600,-82.611
700,170000,35.4043
701,170400,-109.6286
702,170800,-8.6845
703,171200,-129.127
705,171600,-42.1672
706,172000,-110.1676
707,172400,-105.844
708,172800,-95.4306
709,173200,-147.478
710,173600,-98.1776
711,174000,-84.8131
712,174400,-85.1842
713,174800,-96.3952
715,175200,42.8709
716,175600,34.6271
717,176000,-73.1854
