episode,timestep,reward
1,400,129.4106
3,800,111.568
5,1200,142.7496
7,1600,106.3892
9,2000,107.7791
12,2400,128.4472
14,2800,179.1233
17,3200,127.4087
19,3600,83.3855
21,4000,89.2925
23,4400,149.5576
25,4800,156.5807
28,5200,138.6508
30,5600,258.5336
32,6000,157.3008
34,6400,84.5104
36,6800,123.5936
38,7200,104.2823
40,7600,90.3389
42,8000,98.6984
45,8400,133.5693
47,8800,152.7387
49,9200,95.4856
51,9600,133.7098
53,10000,89.1089
55,10400,91.2213
57,10800,75.4281
60,11200,117.8026
62,11600,114.7117
64,12000,101.7608
66,12400,135.6078
68,12800,88.0511
71,13200,178.8843
73,13600,107.2622
75,14000,99.4473
77,14400,132.1378
79,14800,88.3734
81,15200,89.3501
83,15600,108.4032
