episode,timestep,reward
100,6400,-2.736
200,12800,1.1713
300,19200,7.7179
400,25600,11.2417
500,32000,13.3603
600,38400,15.4494
700,44800,18.7463
801,51200,19.9524
902,57600,22.2707
1003,64000,21.6441
1104,70400,24.0514
1206,76800,23.3673
1310,83200,25.3566
1414,89600,26.354
1521,96000,28.0446
1629,102400,28.8967
1737,108800,28.5383
1842,115200,28.8827
1953,121600,28.1003
2066,128000,30.8714
2180,134400,31.9728
2298,140800,32.7814
2420,147200,32.8577
2542,153600,32.0188
2660,160000,32.8859
2788,166400,33.8299
2919,172800,35.477
3048,179200,34.7244
3183,185600,31.837
3324,192000,35.6365
3455,198400,36.0896
3597,204800,35.912
3735,211200,34.4105
3883,217600,35.3787
4026,224000,34.3217
4170,230400,36.7581
4314,236800,36.5845
4462,243200,36.2496
4622,249600,36.7814
4778,256000,34.9403
4935,262400,34.9459
5093,268800,37.9514
5260,275200,36.334
5415,281600,36.9936
5579,288000,37.7863
5743,294400,36.1158
5920,300800,35.5097
6079,307200,37.0157
6239,313600,37.3676
6410,320000,36.2198
6585,326400,37.5202
6753,332800,37.0309
6925,339200,38.8866
7101,345600,36.8131
7272,352000,38.5881
7444,358400,38.0035
7630,364800,36.6338
7810,371200,36.6483
7989,377600,36.2118
8163,384000,39.1664
8346,390400,37.539
8528,396800,37.2567
8712,403200,37.1118
8898,409600,37.2453
9082,416000,37.6102
9274,422400,36.7128
9455,428800,37.7907
9648,435200,36.6275
9838,441600,37.4925
10020,448000,38.2647
10206,454400,37.337
10408,460800,36.7089
10606,467200,36.6202
10803,473600,37.1572
10995,480000,37.72
11193,486400,37.5264
11383,492800,37.5613
11571,499200,36.8555
11775,505600,37.1428
11976,512000,37.5786
12177,518400,37.1832
12386,524800,36.1182
12580,531200,38.5795
12784,537600,37.5878
12989,544000,38.0502
13193,550400,37.4438
13396,556800,37.8804
13600,563200,37.4931
13801,569600,37.8606
14006,576000,37.8212
14201,582400,38.5167
14405,588800,38.208
14609,595200,37.8838
14810,601600,37.9285
15008,608000,37.9808
15216,614400,36.9907
15423,620800,37.8136
15624,627200,37.7762
15829,633600,37.9864
16037,640000,37.8693
16258,646400,35.9926
16467,652800,37.3865
16671,659200,38.4075
16875,665600,37.4016
17085,672000,37.8076
17288,678400,38.7424
17506,684800,37.1136
17725,691200,36.7652
17926,697600,39.1184
18133,704000,38.6907
18337,710400,37.8477
18554,716800,36.8475
18768,723200,37.0832
18977,729600,38.4218
19187,736000,37.4248
19389,742400,38.5866
19599,748800,38.9929
19810,755200,38.3838
20028,761600,37.3654
20251,768000,37.2111
20465,774400,37.7058
20682,780800,37.8461
20904,787200,37.5706
21122,793600,38.033
21334,800000,38.4656
21554,806400,37.9975
21776,812800,37.3116
22000,819200,37.8782
22218,825600,37.6424
22442,832000,37.1733
22658,838400,37.9459
22884,844800,37.0956
23102,851200,37.9515
23321,857600,38.3244
23544,864000,37.5425
23764,870400,38.2337
23984,876800,38.3378
24202,883200,38.0244
24424,889600,37.7662
24653,896000,37.079
24873,902400,38.2934
25105,908800,37.0302
25324,915200,38.1584
25548,921600,37.5568
25769,928000,38.1173
26000,934400,36.3887
26225,940800,37.9939
26440,947200,38.7796
26673,953600,36.8155
26902,960000,37.2007
27131,966400,37.3088
27354,972800,37.6297
27576,979200,37.6299
27807,985600,37.1185
28043,992000,36.8335
28276,998400,36.7862
28507,1004800,37.1695
28733,1011200,37.9627
28967,1017600,37.3575
29193,1024000,38.0974
29420,1030400,37.9158
29650,1036800,37.8602
29874,1043200,38.8062
30101,1049600,38.1227
30324,1056000,38.1546
30569,1062400,35.8159
30798,1068800,37.6255
31018,1075200,39.2997
31254,1081600,36.9267
31487,1088000,37.8206
31718,1094400,37.6923
31944,1100800,37.9524
32179,1107200,37.313
32407,1113600,38.2145
32632,1120000,38.1569
32858,1126400,38.4788
33087,1132800,37.5119
33312,1139200,38.1635
33543,1145600,38.0995
33783,1152000,37.0831
34018,1158400,37.5471
34246,1164800,38.0898
34471,1171200,39.2898
34707,1177600,37.1697
34941,1184000,37.0297
35167,1190400,38.4978
35396,1196800,37.6094
35635,1203200,36.9038
35869,1209600,37.5338
36100,1216000,37.8065
36331,1222400,38.2664
36556,1228800,38.2269
36792,1235200,37.2305
37020,1241600,38.322
37248,1248000,38.5606
37474,1254400,39.0453
37709,1260800,37.879
37939,1267200,38.2102
38180,1273600,37.3846
38416,1280000,37.9168
38652,1286400,37.5217
38891,1292800,38.0264
39116,1299200,39.0674
39351,1305600,38.1643
39588,1312000,37.3255
39826,1318400,37.3031
40058,1324800,38.4165
40288,1331200,38.4877
40522,1337600,37.8625
40759,1344000,37.4031
40992,1350400,37.9409
41229,1356800,37.5421
41473,1363200,36.9775
41706,1369600,38.6653
41937,1376000,38.2105
42182,1382400,36.9958
42425,1388800,37.2468
42666,1395200,37.4809
42914,1401600,36.5097
43144,1408000,38.134
43385,1414400,37.6441
43622,1420800,37.5982
43865,1427200,36.8157
44106,1433600,37.5466
44354,1440000,36.3789
44583,1446400,38.7654
44819,1452800,37.5333
45052,1459200,38.0965
45292,1465600,37.4241
45527,1472000,37.9856
45772,1478400,36.7714
46003,1484800,38.9854
46237,1491200,38.3528
46482,1497600,36.9188
46725,1504000,36.8849
46957,1510400,38.5069
47194,1516800,37.7215
47427,1523200,38.5036
47663,1529600,38.4281
47907,1536000,37.5783
48148,1542400,37.3132
48394,1548800,37.4423
48636,1555200,37.7687
48881,1561600,36.9881
49111,1568000,38.6146
49352,1574400,37.8024
49589,1580800,37.7836
49829,1587200,37.3757
50072,1593600,37.5088
50311,1600000,37.7972
50553,1606400,37.5318
50798,1612800,37.3304
51040,1619200,37.6644
51295,1625600,36.3226
51531,1632000,38.6679
51775,1638400,37.3121
52022,1644800,37.2635
52258,1651200,38.1296
52504,1657600,37.1798
52753,1664000,36.8095
53001,1670400,36.9259
53255,1676800,35.9692
53497,1683200,37.4821
53733,1689600,38.5716
53971,1696000,38.0348
54209,1702400,38.3096
54441,1708800,38.813
54684,1715200,37.5497
54927,1721600,37.3181
55176,1728000,36.8584
55425,1734400,36.6844
55669,1740800,37.2284
55915,1747200,37.0421
56154,1753600,38.2331
56393,1760000,37.9583
56633,1766400,38.234
56871,1772800,38.2966
57112,1779200,38.1346
57342,1785600,39.2131
57584,1792000,37.3566
57815,1798400,39.0981
58053,1804800,38.5103
58288,1811200,38.3578
58525,1817600,38.1932
58764,1824000,37.7919
59005,1830400,37.8227
59258,1836800,36.6104
59504,1843200,37.4324
59743,1849600,38.1286
59981,1856000,38.0256
60226,1862400,37.5767
60465,1868800,38.0876
60728,1875200,35.7954
60969,1881600,37.9692
61216,1888000,37.2899
61467,1894400,37.0015
61707,1900800,38.1099
61957,1907200,37.0939
62198,1913600,38.4599
62440,1920000,37.7177
62681,1926400,37.8265
62926,1932800,37.5781
63174,1939200,37.6685
63421,1945600,37.4409
63666,1952000,37.362
63907,1958400,38.0532
64150,1964800,37.7123
64396,1971200,37.3522
64635,1977600,38.366
64875,1984000,38.4218
65120,1990400,37.2741
65362,1996800,37.8106
65621,2003200,35.9558
65861,2009600,38.2119
66109,2016000,37.2156
66355,2022400,37.3897
66602,2028800,37.4934
66850,2035200,37.2586
67091,2041600,37.7231
67338,2048000,37.6371
67575,2054400,38.644
67824,2060800,37.0295
68079,2067200,36.4319
68322,2073600,37.7624
68554,2080000,38.9741
68799,2086400,37.713
69049,2092800,36.8616
69289,2099200,37.9906
69539,2105600,37.1422
69779,2112000,38.2178
70020,2118400,38.0269
70257,2124800,38.4223
70502,2131200,37.9011
70746,2137600,38.0723
70981,2144000,38.9751
71221,2150400,38.4938
71460,2156800,38.531
71708,2163200,37.3635
71947,2169600,38.5378
72195,2176000,37.4871
72427,2182400,39.0554
72673,2188800,37.6953
72924,2195200,37.3608
73162,2201600,38.6073
73407,2208000,37.5434
73659,2214400,36.8778
73913,2220800,36.8747
74153,2227200,38.1421
74398,2233600,37.9282
74643,2240000,37.9351
74887,2246400,37.7596
75132,2252800,38.0565
75379,2259200,38.0121
75624,2265600,38.1101
75867,2272000,38.0859
76122,2278400,36.9565
76367,2284800,37.8559
76606,2291200,38.2006
76855,2297600,37.5847
77095,2304000,38.1528
77338,2310400,38.1827
77585,2316800,37.5342
77841,2323200,36.7565
78084,2329600,38.1267
78335,2336000,37.2213
78575,2342400,38.4949
78817,2348800,38.3715
79056,2355200,38.2985
79313,2361600,36.7949
79553,2368000,38.2197
79797,2374400,37.9708
80038,2380800,38.2441
80287,2387200,37.1402
80528,2393600,38.4748
80782,2400000,36.9753
81027,2406400,37.8254
81272,2412800,37.7539
81531,2419200,36.4494
81778,2425600,37.7577
82021,2432000,38.0913
82269,2438400,37.612
82508,2444800,38.5575
82739,2451200,39.7014
82985,2457600,37.912
83228,2464000,38.4469
83472,2470400,37.8804
83715,2476800,38.1172
83966,2483200,37.1885
84206,2489600,38.1577
84451,2496000,38.0647
84695,2502400,38.0654
84952,2508800,36.7913
85208,2515200,36.9461
85447,2521600,38.7937
85699,2528000,36.9885
85946,2534400,37.6297
86189,2540800,38.0812
86437,2547200,37.6115
86683,2553600,37.4989
86942,2560000,36.4583
87186,2566400,37.9928
87430,2572800,37.7141
87683,2579200,36.8416
87939,2585600,36.6366
88190,2592000,37.439
88432,2598400,38.239
88682,2604800,37.51
88938,2611200,36.6779
89192,2617600,37.026
