episode,timestep,diff
54441,1708800,77.08815866317606
54684,1715200,80.40237211936666
54927,1721600,77.22994438606128
55176,1728000,78.34361906635426
55425,1734400,78.56681989757548
55669,1740800,79.6000389522413
55915,1747200,75.02614147574135
56154,1753600,76.59486678193205
56393,1760000,77.1800760392864
56633,1766400,76.7847005718933
56871,1772800,77.05395267801865
57112,1779200,80.95715892433849
57342,1785600,76.19488217950871
57584,1792000,74.98694015738145
57815,1798400,76.14997270031604
58053,1804800,74.62477903885487
58288,1811200,74.37069511411723
58525,1817600,78.31065850216878
58764,1824000,76.57863426632119
59005,1830400,74.64836781525344
59258,1836800,78.69691581566299
59504,1843200,76.57362535005245
59743,1849600,74.17474115050523
59981,1856000,76.74382114610889
60226,1862400,81.19883200375433
60465,1868800,76.79095935605395
60728,1875200,78.0472321479824
60969,1881600,74.73143364148652
61216,1888000,75.45011554401748
61467,1894400,76.73627189288838
61707,1900800,74.14269262281339
61957,1907200,79.46736235709122
62198,1913600,74.70693298661602
62440,1920000,78.12269613240167
62681,1926400,75.94324678365051
62926,1932800,77.55079280152104
63174,1939200,77.79977068090373
63421,1945600,74.64436025071362
63666,1952000,76.44550743894568
63907,1958400,79.68916757052381
64150,1964800,75.98078598109927
64396,1971200,75.66351489789825
64635,1977600,76.90080281216905
64875,1984000,75.20955882925855
65120,1990400,81.3507386190191
65362,1996800,76.2505975983841
65621,2003200,75.77872583402659
65861,2009600,78.01498978601681
66109,2016000,80.64457269481144
66355,2022400,78.42682335026002
66602,2028800,77.903008619209
66850,2035200,80.65122082557811
67091,2041600,80.19207752497071
67338,2048000,80.56847258443356
67575,2054400,82.6542026649277
67824,2060800,81.34835424576065
68079,2067200,75.74022323770625
68322,2073600,80.06561385627272
68554,2080000,80.08575932017706
68799,2086400,80.41148072629119
69049,2092800,79.34631969913288
69289,2099200,79.89507312717238
69539,2105600,76.45508791888555
69779,2112000,77.62141059932249
70020,2118400,78.83138146371063
70257,2124800,78.84481470769369
70502,2131200,77.30914088624341
70746,2137600,77.12417058755453
70981,2144000,74.37749403999067
71221,2150400,75.33774552518437
71460,2156800,78.84536579071701
71708,2163200,72.92954377280743
71947,2169600,76.952465581789
72195,2176000,74.42325139668559
72427,2182400,77.27472573921584
72673,2188800,79.58330673297525
72924,2195200,75.74929377571893
73162,2201600,76.99156926864906
73407,2208000,78.43676941867001
73659,2214400,76.09470524381734
73913,2220800,75.95355099060538
74153,2227200,78.73379963471815
74398,2233600,76.59593160169545
74643,2240000,79.20299085526139
74887,2246400,72.03118871420438
75132,2252800,76.25168843401019
75379,2259200,73.12121415939576
75624,2265600,74.98883983392443
75867,2272000,77.48019941328634
76122,2278400,77.4453369398662
76367,2284800,76.56580936275451
76606,2291200,75.9740319431114
76855,2297600,74.64444694134457
77095,2304000,75.13110144768834
77338,2310400,71.75981598754169
77585,2316800,74.94218761113244
77841,2323200,75.7817500236942
78084,2329600,74.41521988329116
78335,2336000,78.20786468908112
78575,2342400,71.49292550253772
78817,2348800,74.45293071856801
79056,2355200,75.03352478494715
79313,2361600,73.68327653122029
79553,2368000,77.45526320191583
79797,2374400,73.4355220407187
80038,2380800,70.64186471243835
80287,2387200,72.0520645263953
80528,2393600,77.03677222030294
80782,2400000,76.35436151436673
81027,2406400,73.4630534358752
81272,2412800,73.94991088020183
81531,2419200,72.62040584451569
81778,2425600,68.08865869059429
82021,2432000,73.11370290838308
82269,2438400,73.02994912346105
82508,2444800,70.05584976536707
82739,2451200,71.21427505973314
82985,2457600,71.13442855661113
83228,2464000,72.40695911223719
83472,2470400,74.50319888240797
83715,2476800,74.75356094779943
83966,2483200,74.9109319166985
84206,2489600,77.30899019723334
84451,2496000,71.82285995583919
84695,2502400,75.75886668286165
84952,2508800,75.75426885022672
85208,2515200,76.25177167826074
85447,2521600,78.01073388417576
85699,2528000,77.43000984271042
85946,2534400,73.15264595731446
86189,2540800,74.1222287184471
86437,2547200,73.3195742274448
86683,2553600,79.1258101140261
86942,2560000,73.84175514340444
87186,2566400,77.0180270268265
87430,2572800,78.83257066270293
87683,2579200,77.16377056691421
87939,2585600,75.70135350891755
88190,2592000,74.73475172955231
88432,2598400,73.858595486132
88682,2604800,73.74649124051538
88938,2611200,74.11241287043235
89192,2617600,73.00820433048807
89433,2624000,72.12885908207582
89670,2630400,73.68236373039939
89923,2636800,71.29630074601491
