episode,timestep,diff
100,6400,112.47472815136652
200,12800,0
300,19200,0
400,25600,0
500,32000,111.66833593763067
600,38400,80.49026646291524
700,44800,99.00765382919231
801,51200,101.21631746954137
902,57600,86.05612921735475
1003,64000,85.53816319124076
1104,70400,80.34498647338242
1206,76800,70.68409584673128
1310,83200,85.52614624150203
1414,89600,93.86064218966881
1521,96000,83.38441468873117
1629,102400,79.76064780580683
1737,108800,86.23814565137438
1842,115200,82.82397628565465
1953,121600,81.73898752578133
2066,128000,82.70338952037955
2180,134400,80.08370713573784
2298,140800,85.41974125329384
2420,147200,88.10093754094905
2542,153600,85.66444421612782
2660,160000,87.97690977231895
2788,166400,84.10744653821268
2919,172800,83.75911953867018
3048,179200,83.2089707659573
3183,185600,81.14922207875235
3324,192000,82.70282463971243
3455,198400,89.52406534494651
3597,204800,82.8949799680478
3735,211200,86.61851470618612
3883,217600,87.10520218076867
4026,224000,86.03410083941262
4170,230400,81.31923453099142
4314,236800,86.68054804905694
4462,243200,85.24454760177346
4622,249600,87.83012426665981
4778,256000,85.60942476328191
4935,262400,87.97065430869564
5093,268800,81.80057231700629
5260,275200,85.39551077607514
5415,281600,84.57356817745384
5579,288000,83.18072715210663
5743,294400,85.33165217414435
5920,300800,87.77990818047364
6079,307200,86.05757988873296
6239,313600,86.34593259772029
6410,320000,80.53093094505368
6585,326400,85.98006223595029
6753,332800,80.31300523866183
6925,339200,81.06786422476053
7101,345600,82.65518388272685
7272,352000,82.95538084066182
7444,358400,80.59822691349372
7630,364800,85.53780499902743
7810,371200,82.85494558358218
7989,377600,80.92063449853192
8163,384000,84.05918418923997
8346,390400,84.77249289099753
8528,396800,85.0723147788102
8712,403200,81.24217188801597
8898,409600,82.97242948057014
9082,416000,84.1786893730067
9274,422400,83.93338985158124
9455,428800,82.2112839695702
9648,435200,84.17633463576956
9838,441600,84.89694841113653
10020,448000,83.57586925624184
10206,454400,82.71867276655676
10408,460800,85.5653882503531
10606,467200,80.26552145348194
10803,473600,84.89834278812474
10995,480000,84.09580179928089
11193,486400,82.05770624903586
11383,492800,83.5723601446229
11571,499200,79.97317793375095
11775,505600,83.67948666804219
11976,512000,85.61379368833654
12177,518400,80.55807461838995
12386,524800,81.41602054912191
12580,531200,83.78961268222959
12784,537600,86.17356788791851
12989,544000,84.46083239806552
13193,550400,79.49179092751972
13396,556800,83.19035618906291
13600,563200,83.34013387507763
13801,569600,84.01735720061409
14006,576000,84.25893970905953
14201,582400,82.69369860195647
14405,588800,81.342880887669
14609,595200,85.06700258422147
14810,601600,80.67322677541804
15008,608000,81.71209252052755
15216,614400,80.17233894585434
15423,620800,81.24053768760817
15624,627200,80.43369418821577
15829,633600,78.37829117340283
16037,640000,82.87825704229193
16258,646400,80.36709077394086
16467,652800,84.32936116292079
16671,659200,81.17892130489014
16875,665600,81.99360858820093
17085,672000,82.35627750746157
17288,678400,82.22975529010914
17506,684800,81.30725162231579
17725,691200,83.45161449506716
17926,697600,78.96906783539688
18133,704000,81.3842864709989
18337,710400,80.679815705576
18554,716800,81.75891321994342
18768,723200,84.7970796732976
18977,729600,80.22935165038396
19187,736000,83.57740565651741
19389,742400,82.83059667985748
19599,748800,82.46946463476891
19810,755200,81.53102684279241
20028,761600,81.35219937923169
20251,768000,79.67194784666148
20465,774400,84.46923816076134
20682,780800,82.08104641745
20904,787200,77.09121265756748
21122,793600,83.04527960341073
21334,800000,82.19570378982593
21554,806400,81.04886798946035
21776,812800,80.28374702231741
22000,819200,82.61310548345132
22218,825600,81.81576704243805
22442,832000,83.57892117720074
22658,838400,83.12592615821038
22884,844800,79.84184623935535
23102,851200,82.53688166461525
23321,857600,86.09201960627831
23544,864000,78.66831319696058
23764,870400,82.16394821337147
23984,876800,83.84914931709615
24202,883200,80.99560265891226
24424,889600,82.29688578680674
24653,896000,80.41880266556447
24873,902400,79.79692347146405
25105,908800,82.16552921242489
25324,915200,80.83112273107139
25548,921600,81.94144687388383
25769,928000,81.48591640584509
26000,934400,79.74990923674846
26225,940800,78.18212853878856
26440,947200,81.78578661634893
26673,953600,81.59749741077083
26902,960000,82.50825644200927
27131,966400,78.43084915200808
27354,972800,80.68677031414741
27576,979200,83.61699599815834
27807,985600,81.92523736170199
28043,992000,82.75098562283263
28276,998400,80.1411029245168
28507,1004800,79.19873107839544
28733,1011200,81.26367178263095
28967,1017600,79.85912282213091
29193,1024000,78.26790291312702
29420,1030400,82.30639662972483
29650,1036800,78.17769730017878
29874,1043200,80.56527223650801
30101,1049600,82.16676690971681
30324,1056000,82.50770663998509
30569,1062400,81.1479466162328
30798,1068800,76.77023369094897
31018,1075200,81.0415058755409
31254,1081600,77.70521173410886
31487,1088000,80.16373865406105
31718,1094400,84.238036906378
31944,1100800,81.79322653485771
32179,1107200,77.61709825110997
32407,1113600,82.12704655600142
32632,1120000,78.33393527495514
32858,1126400,82.20551020607853
33087,1132800,84.15984621854993
33312,1139200,82.83821058912275
33543,1145600,81.5406202672228
33783,1152000,80.77447533781361
34018,1158400,75.97642985694296
34246,1164800,80.44499056276344
34471,1171200,80.28619541805514
34707,1177600,82.35028951081864
34941,1184000,77.11912771075727
35167,1190400,76.61015539075426
35396,1196800,82.42741506453804
35635,1203200,81.05156763579359
35869,1209600,79.25010184531463
36100,1216000,81.09306252911375
36331,1222400,80.38698773971754
36556,1228800,78.905281171322
36792,1235200,80.41843487153969
37020,1241600,80.75828861689048
37248,1248000,76.56577459787971
37474,1254400,76.84748968881833
37709,1260800,79.32154780292197
37939,1267200,82.90671733602977
38180,1273600,84.90605766668337
38416,1280000,79.75548867452302
38652,1286400,80.52183646990122
38891,1292800,79.81947331811507
39116,1299200,78.12192913360933
39351,1305600,81.451837232695
39588,1312000,78.18833059298898
39826,1318400,82.20629006695431
40058,1324800,76.090263346076
40288,1331200,83.07319435458776
40522,1337600,79.75435448162547
40759,1344000,80.32365698266784
40992,1350400,81.71510172510119
41229,1356800,78.09512243593527
41473,1363200,82.22533512526348
41706,1369600,79.00952915880912
41937,1376000,77.67691889636741
42182,1382400,79.94796391521146
42425,1388800,78.00739552716438
42666,1395200,80.64139375769003
42914,1401600,79.71691787811241
43144,1408000,78.23693742709357
43385,1414400,78.61816709125816
43622,1420800,84.15012527395048
43865,1427200,79.7258872285097
44106,1433600,79.58672314982108
44354,1440000,79.5028198047048
44583,1446400,77.9178577087668
44819,1452800,79.54383373825405
45052,1459200,81.13335121070455
45292,1465600,76.69723652051336
45527,1472000,80.83453155331722
45772,1478400,81.37963701792742
46003,1484800,78.0637826984219
46237,1491200,78.49678540261623
46482,1497600,78.07875455711469
46725,1504000,81.65607667440919
46957,1510400,80.1960309983651
47194,1516800,79.70684935765557
47427,1523200,81.83445991141276
47663,1529600,76.71029021962512
47907,1536000,81.42029290673533
48148,1542400,78.93092722674659
48394,1548800,79.6594740652822
48636,1555200,75.75147929906645
48881,1561600,74.33440517308136
49111,1568000,80.91081533251376
49352,1574400,77.56916852384393
49589,1580800,82.22615799242185
49829,1587200,81.50211147688623
50072,1593600,79.41352388292697
50311,1600000,78.50176650431347
50553,1606400,76.42740401146736
50798,1612800,80.98304110749609
51040,1619200,77.11070996053404
51295,1625600,78.99737437363353
51531,1632000,76.93162905792518
51775,1638400,81.16478293384299
52022,1644800,77.40096096342589
52258,1651200,78.8657895632834
52504,1657600,80.04097066886764
52753,1664000,77.49300806538093
53001,1670400,80.6547933142274
53255,1676800,79.77686672555274
53497,1683200,77.69743792055087
53733,1689600,77.89419696268065
53971,1696000,77.39402067630998
54209,1702400,79.68131978277337
